"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_355324","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_413350","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_416155","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_355323","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_364140","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_16479469","A/H1N1pdm09","Ministry of Health and Wellness, Mauritius","National Influenza Centre, Department of Molecular Biology and Virology"
"EPI_ISL_534364","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_409717","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_362258","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Lab"
"EPI_ISL_355325","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_426231","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_367998","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_364554","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_355416","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_377818","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_443146","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_413763","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_416177","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_406113","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_416161","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_378121","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_449785","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_16542184","A/H1N1pdm09","Ministry of Health and Wellness, Mauritius","National Influenza Centre, Department of Molecular Biology and Virology"
"EPI_ISL_367981","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_401581","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_16541957","A/H1N1pdm09","Ministry of Health and Wellness, Mauritius","National Influenza Centre, Department of Molecular Biology and Virology"
"EPI_ISL_355449","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_449779","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_413758","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_491757","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_508550","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_513924","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_1034789","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_1296421","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_1296412","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_513920","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_628792","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_628799","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_18765086","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_508559","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_508576","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_508551","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_594233","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_508544","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_508154","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_882889","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_628781","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_2932733","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institute National D'Hygiene"
"EPI_ISL_1034783","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_508572","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_527215","A/H1N1pdm09","Crick Worldwide Influenza Centre","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_529110","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_1180148","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_514741","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_508575","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_527253","A/H1N1pdm09","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_508555","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_534362","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_1368256","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_5980318","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_3796308","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_9713671","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_2918700","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_10824642","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_3796367","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_12709104","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_14212872","A/H1N1pdm09","Crick Worldwide Influenza Centre","Ministry of Health & Human Services"
"EPI_ISL_12241599","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_10824640","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_11495651","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_17805834","A/H1N1pdm09",NA,NA
"EPI_ISL_9713679","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_7603583","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_8576488","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_2625850","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_2918680","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_12241622","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_2625837","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_11495636","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_12579929","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_3534831","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_18931223","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_9713677","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_17805812","A/H1N1pdm09",NA,NA
"EPI_ISL_2932726","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institute National D'Hygiene"
"EPI_ISL_12942294","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_3534801","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_4005758","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Ghana"
"EPI_ISL_2625830","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_2625855","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_14333250","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_14991510","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_16834440","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_15393503","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_17212582","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_14861048","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_14861154","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_14115613","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_17103044","A/H1N1pdm09","Centers for Disease Control and Prevention","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_14861156","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_15393497","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_13954052","A/H1N1pdm09","Vaccines and Infectious Diseases Analytics Research Unit","Wits-VIDA"
"EPI_ISL_17212617","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_16834696","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_17212631","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_17430503","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_16765113","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratório de Isolamento Viral"
"EPI_ISL_14115617","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_14115601","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_16834436","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_16764998","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratório de Isolamento Viral"
"EPI_ISL_14333155","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_14861047","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_17430499","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_16834685","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_15286641","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_13399725","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_14333143","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_16200600","A/H1N1pdm09","CNR Virus des Infections Respiratoires, France SUD","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_14861058","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_18712451","A/H1N1pdm09","Ethiopian Public Health Institute","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_18430878","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_18742647","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_18599177","A/H1N1pdm09","CNR Virus des Infections Respiratoires, France SUD","Kenya Medical Research Institute"
"EPI_ISL_18291063","A/H1N1pdm09","Institut Pasteur de Dakar","Institut Pasteur de Dakar"
"EPI_ISL_17806156","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_18167292","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Ghana"
"EPI_ISL_18812054","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institute National D'Hygiene"
"EPI_ISL_18962607","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_18712444","A/H1N1pdm09","Ethiopian Public Health Institute","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_18374417","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_17981213","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_18714797","A/H1N1pdm09","Ethiopian Public Health Institute","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_18044280","A/H1N1pdm09","Crick Worldwide Influenza Centre","Ministry of Health and Wellness, Mauritius"
"EPI_ISL_18274648","A/H1N1pdm09","Institut Pasteur de Dakar","Institut Pasteur de Dakar"
"EPI_ISL_18282193","A/H1N1pdm09","Institut Pasteur de Dakar","Institut Pasteur de Dakar"
"EPI_ISL_18276512","A/H1N1pdm09","Institut Pasteur de Dakar","Institut Pasteur de Dakar"
"EPI_ISL_18593171","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_18338658","A/H1N1pdm09","Institut Pasteur d'Algérie","Institut Pasteur d'Algerie"
"EPI_ISL_17806100","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_17981246","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_18128321","A/H1N1pdm09","CNR Virus des Infections Respiratoires, France SUD","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_18291190","A/H1N1pdm09","Institut Pasteur de Dakar","Institut Pasteur de Dakar"
"EPI_ISL_18076007","A/H1N1pdm09","Institut Pasteur de Dakar","Institut Pasteur de Dakar"
"EPI_ISL_18856820","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_18742823","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_18230480","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute for Communicable Disease"
"EPI_ISL_18593173","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_17625884","A/H1N1pdm09","Centers for Disease Control and Prevention","Noguchi Memorial Institute for Medical Research (NMIMR)"
"EPI_ISL_18295904","A/H1N1pdm09","Institut Pasteur de Dakar","Institut Pasteur de Dakar"
"EPI_ISL_292942","A/H1N1pdm09","Instituto de Salud Carlos III","Instituto de Salud Carlos III"
"EPI_ISL_301359","A/H1N1pdm09","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_339522","A/H1N1pdm09","Robert Koch Institute Nationales Referenzzentrum für Influenza",NA
"EPI_ISL_286851","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_294138","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_252716","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_294328","A/H1N1pdm09","Instituto de Salud Carlos III","Servicio de Microbiología Hospital Virgen de las Nieves"
"EPI_ISL_308455","A/H1N1pdm09","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_282966","A/H1N1pdm09","Public Health Agency of Sweden",NA
"EPI_ISL_285630","A/H1N1pdm09","UCD National Virus Reference Laboratory","UCD National Virus Reference Laboratory"
"EPI_ISL_303893","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Vienna"
"EPI_ISL_308450","A/H1N1pdm09","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_255394","A/H1N1pdm09","Hungarian National Center of Epidemiology","National Center for Epidemiology, National Influenza Center"
"EPI_ISL_291992","A/H1N1pdm09","National Institute for Public Health and the Environment (RIVM)","National Institute for Public Health and the Environment (RIVM)"
"EPI_ISL_294112","A/H1N1pdm09","Crick Worldwide Influenza Centre","Robert Koch Institute Nationales Referenzzentrum für Influenza"
"EPI_ISL_292842","A/H1N1pdm09","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_292841","A/H1N1pdm09","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_263067","A/H1N1pdm09","Crick Worldwide Influenza Centre","Robert Koch Institute Nationales Referenzzentrum für Influenza"
"EPI_ISL_308446","A/H1N1pdm09","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_269606","A/H1N1pdm09","Robert Koch Institute Nationales Referenzzentrum für Influenza",NA
"EPI_ISL_290221","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_273865","A/H1N1pdm09","Norwegian Institute of Public Health","Innlandet Hospital Trust, Division Lillehammer, Department for Microbiology"
"EPI_ISL_253629","A/H1N1pdm09","Hungarian National Center of Epidemiology","National Center for Epidemiology, National Influenza Center"
"EPI_ISL_313946","A/H1N1pdm09","Public Health Wales Microbiology Cardiff","Public Health Wales Microbiology Cardiff"
"EPI_ISL_294128","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_286810","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_247414","A/H1N1pdm09","Hungarian National Center of Epidemiology","National Center for Epidemiology, National Influenza Center"
"EPI_ISL_308511","A/H1N1pdm09","Crick Worldwide Influenza Centre","Swiss National Reference Centre for Influenza"
"EPI_ISL_268722","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Public Health Institute of Slovakia"
"EPI_ISL_303905","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur"
"EPI_ISL_321439","A/H1N1pdm09","Crick Worldwide Influenza Centre","Statens Serum Institute"
"EPI_ISL_335363","A/H1N1pdm09","Instituto de Salud Carlos III","Servicio de Microbiología Complejo Hospitalario de Navarra"
"EPI_ISL_315720","A/H1N1pdm09","Crick Worldwide Influenza Centre","WHO National Influenza Centre"
"EPI_ISL_315742","A/H1N1pdm09","Crick Worldwide Influenza Centre","Swiss National Reference Centre for Influenza"
"EPI_ISL_334229","A/H1N1pdm09","Public Health Wales Microbiology Cardiff","Public Health Wales Microbiology Cardiff"
"EPI_ISL_297444","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_338898","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_338039","A/H1N1pdm09","Crick Worldwide Influenza Centre","Health Protection Inspectorate"
"EPI_ISL_304941","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_305954","A/H1N1pdm09","National Institute for Public Health and the Environment (RIVM)","National Institute for Public Health and the Environment (RIVM)"
"EPI_ISL_305396","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_302327","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_330094","A/H1N1pdm09","University of Bari","UOC Policlinico di Bari DIMO"
